review,score,of_title,Ideological_Bias,LGBTQ+_Criticism,Conspiracy_Theory,Meta-Criticism,Technical_Criticism,Tactical_Praise,Coordinated_Hate,Studio_Criticism,Frustration/Expectation
"Terrible. Ok so you want to start fresh? Disregard the legacy and everything set into place by The Force Awakens? THEN DO A GOOD JOB. Which you didn't. This is not just an awful movie, and not just a failed sequel, this is an act of aggression against fans by an arrogant director who thinks he can do better. He couldn't. Now let's hope that Abrams can pull off a miracle in IX and pick up the pieces. (And thank you Mark Hamill for letting us know your feelings about this film.)",2.0,Last Jedi,0.9420028924942017,0.8965475559234619,0.8781925439834595,0.8697986602783203,0.8307695984840393,0.7267250418663025,0.5537951588630676,0.5524499416351318,0.02533830516040325
"Visually stunning, but woefully lacking in writing, directing and editing. On first viewing 5/10 and on second viewing where the flaws are more obvious it gets 3/10. A shame as with some decent editing, dialogue changes and re-shoots it has the potential to be an enjoyable film.",2.0,Last Jedi,0.7429191470146179,0.6518780589103699,0.5932132005691528,0.1538013219833374,0.13033954799175262,0.08370307832956314,0.02252652309834957,0.021363532170653343,0.021132031455636024
"Think about it, this movie takes place 18 hours following the last movie. In last movie Finn couldn't fly, now he is suddenly, with no training, is an expert pilot. They are chased at light speed with First Order firing on their shields, yet Finn/Rose can take a trip to a planet for several hours and then magically return to the ship, still being chased and blasted on by the First Order. Nothing in this movie made sense, and they trashed Luke's character, angered and spurned away the fans.",2.0,Last Jedi,0.8541002869606018,0.7460159659385681,0.7313686609268188,0.7030866146087646,0.5811609625816345,0.5422768592834473,0.5377076864242554,0.2878158688545227,0.02601279690861702
"Unrecognizable as a Star Wars movie. Weak plot, weak characters, poorly placed humor. Good effect, but that's not enough. Iconic movies shouldn't be used to push  a political agenda.",2.0,Last Jedi,0.9058296084403992,0.6225892305374146,0.4593978226184845,0.4017466604709625,0.36088845133781433,0.10952305793762207,0.0334392786026001,0.023950647562742233,0.022000212222337723
"""If you just casually watched a few \""""Star Wars\"""" movies & thought they were alright, this is for you. If you are a \""""Star Wars\""""-fan you can't take this new installment seriously; to a point where you actually feel a bit of shallow pain after leaving the theater. The movie feels like fanfiction, which threw all the rules, that George Lucas created, out of the window und made your childhood characters fly through space like marvel space-wizards. Star Wars always felt like a real thing far far away, now it feels like a summer blockbuster movie, that you'll forget the second you come home. There are so many things that are bad about this movie, that i couldn't get them into the review. I'm not a Review guy, but now I felt a strong sense do get my disappointment out of my system. KATHLEEN KENNDEDY: PLEASE GIVE US MORE FROM GARETH EDWARDS, THAT'S OUR ONLY HOPE!",2.0,Last Jedi,0.9529934525489807,0.7909095883369446,0.6129880547523499,0.530815064907074,0.4378982484340668,0.3326459228992462,0.22712300717830658,0.02116321213543415,0.00961605366319418
Honestly the worst of the entire saga. Rian completely gutted the Star Wars name.  Never thought id dislike any episode more than TPM.  Im just going to write this off as non-canon in my own brain.,2.0,Last Jedi,0.5285265445709229,0.3800910711288452,0.3571658432483673,0.13536545634269714,0.0698205828666687,0.05492650344967842,0.04559304937720299,0.031375568360090256,0.0033809724263846874
Too many contrivances that are blatantly contrary to the Star Wars universe but forced into being for âplotâ purposes. Way too many attempts at Jar-Jar Binks style comedy scattered throughout. Left me with the impression that Riann Johnson was more focussed on flipping the bird at JJ Abramsâ TFA than he was with putting together a quality film deserving of the Star Wars title.,4.0,Last Jedi,0.8838927149772644,0.8788599967956543,0.8750256299972534,0.8083893656730652,0.7077426314353943,0.5849691033363342,0.1114572063088417,0.07849673181772232,0.0419977642595768
The force now supports Skype!! Not a bad movie just the decisions that were made were terrible.,2.0,Last Jedi,0.9751110672950745,0.5859167575836182,0.5689384937286377,0.2879423201084137,0.24902305006980896,0.02730284258723259,0.016878440976142883,0.009992022998631,0.006771613843739033
"Hated this film. Clunky, badly structured and poorly written, preachy characters. And that with out mentioned what a disservice it does to TFA. Disney has no plans for these films, and it shows.",2.0,Last Jedi,0.900043785572052,0.8309504389762878,0.8032811284065247,0.6174764633178711,0.5935596227645874,0.5789226293563843,0.20522764325141907,0.07887525856494904,0.0011668801307678223
This is not Star Wars ! It felt like Disney wants only your money. It looks very exceptional but has a lot of things that don't make any sense. The message that Disney seems to sent the fans is  that the past doesn't matter.,2.0,Last Jedi,0.8014247417449951,0.4803684651851654,0.3357595205307007,0.32065990567207336,0.13927078247070312,0.1173032745718956,0.09922824800014496,0.031278740614652634,0.011740813963115215
