review,score,of_title,Ideological_Bias,LGBTQ+_Criticism,Conspiracy_Theory,Meta-Criticism,Technical_Criticism,Tactical_Praise,Coordinated_Hate,Studio_Criticism,Frustration/Expectation
"Terrible. Ok so you want to start fresh? Disregard the legacy and everything set into place by The Force Awakens? THEN DO A GOOD JOB. Which you didn't. This is not just an awful movie, and not just a failed sequel, this is an act of aggression against fans by an arrogant director who thinks he can do better. He couldn't. Now let's hope that Abrams can pull off a miracle in IX and pick up the pieces. (And thank you Mark Hamill for letting us know your feelings about this film.)",2.0,Last Jedi,0.9043880701065063,0.7139943838119507,0.6403819918632507,0.6058588624000549,0.6029174327850342,0.15146267414093018,0.06599844247102737,0.06251885741949081,0.05349329113960266
"Visually stunning, but woefully lacking in writing, directing and editing. On first viewing 5/10 and on second viewing where the flaws are more obvious it gets 3/10. A shame as with some decent editing, dialogue changes and re-shoots it has the potential to be an enjoyable film.",2.0,Last Jedi,0.5714275240898132,0.4291301965713501,0.40467438101768494,0.4025507867336273,0.374972403049469,0.3254566490650177,0.1875288039445877,0.18192069232463837,0.17980054020881653
"Think about it, this movie takes place 18 hours following the last movie. In last movie Finn couldn't fly, now he is suddenly, with no training, is an expert pilot. They are chased at light speed with First Order firing on their shields, yet Finn/Rose can take a trip to a planet for several hours and then magically return to the ship, still being chased and blasted on by the First Order. Nothing in this movie made sense, and they trashed Luke's character, angered and spurned away the fans.",2.0,Last Jedi,0.6395094394683838,0.4867623448371887,0.42613300681114197,0.4012529253959656,0.38664746284484863,0.2577541172504425,0.25217026472091675,0.18094401061534882,0.10697545111179352
"Unrecognizable as a Star Wars movie. Weak plot, weak characters, poorly placed humor. Good effect, but that's not enough. Iconic movies shouldn't be used to push  a political agenda.",2.0,Last Jedi,0.23355217278003693,0.1457185596227646,0.09592945128679276,0.045374538749456406,0.03630971536040306,0.018886271864175797,0.015552191995084286,0.008859537541866302,0.004758313298225403
"""If you just casually watched a few \""""Star Wars\"""" movies & thought they were alright, this is for you. If you are a \""""Star Wars\""""-fan you can't take this new installment seriously; to a point where you actually feel a bit of shallow pain after leaving the theater. The movie feels like fanfiction, which threw all the rules, that George Lucas created, out of the window und made your childhood characters fly through space like marvel space-wizards. Star Wars always felt like a real thing far far away, now it feels like a summer blockbuster movie, that you'll forget the second you come home. There are so many things that are bad about this movie, that i couldn't get them into the review. I'm not a Review guy, but now I felt a strong sense do get my disappointment out of my system. KATHLEEN KENNDEDY: PLEASE GIVE US MORE FROM GARETH EDWARDS, THAT'S OUR ONLY HOPE!",2.0,Last Jedi,0.8177667856216431,0.6500433683395386,0.41215088963508606,0.2771355211734772,0.15114855766296387,0.11881905049085617,0.11212244629859924,0.08124355971813202,0.04747011512517929
Honestly the worst of the entire saga. Rian completely gutted the Star Wars name.  Never thought id dislike any episode more than TPM.  Im just going to write this off as non-canon in my own brain.,2.0,Last Jedi,0.37719953060150146,0.3341081738471985,0.25273093581199646,0.1396324187517166,0.12820380926132202,0.08386750519275665,0.07662045955657959,0.05302727594971657,0.04700617119669914
Too many contrivances that are blatantly contrary to the Star Wars universe but forced into being for âplotâ purposes. Way too many attempts at Jar-Jar Binks style comedy scattered throughout. Left me with the impression that Riann Johnson was more focussed on flipping the bird at JJ Abramsâ TFA than he was with putting together a quality film deserving of the Star Wars title.,4.0,Last Jedi,0.5491858124732971,0.3784657120704651,0.3176087737083435,0.2907998263835907,0.2638680040836334,0.1976930797100067,0.052151985466480255,0.048584554344415665,0.022390592843294144
The force now supports Skype!! Not a bad movie just the decisions that were made were terrible.,2.0,Last Jedi,0.48932164907455444,0.33468276262283325,0.2172161489725113,0.21345898509025574,0.0933104082942009,0.04206950590014458,0.035848382860422134,0.003269208362326026,0.0018339436501264572
"Hated this film. Clunky, badly structured and poorly written, preachy characters. And that with out mentioned what a disservice it does to TFA. Disney has no plans for these films, and it shows.",2.0,Last Jedi,0.938399612903595,0.687298595905304,0.6152679324150085,0.414896160364151,0.38381338119506836,0.3655208945274353,0.19560830295085907,0.14407573640346527,0.07404673099517822
This is not Star Wars ! It felt like Disney wants only your money. It looks very exceptional but has a lot of things that don't make any sense. The message that Disney seems to sent the fans is  that the past doesn't matter.,2.0,Last Jedi,0.7755125164985657,0.31069624423980713,0.13668036460876465,0.11356226354837418,0.07300766557455063,0.0434819795191288,0.03533010184764862,0.026219112798571587,0.025499772280454636
worse than the prequels,2.0,Last Jedi,0.8669838309288025,0.447512686252594,0.29948797821998596,0.21218182146549225,0.18920232355594635,0.12049995362758636,0.08719612658023834,0.06237945333123207,0.0007772335084155202
Just a cash grab by Disney. This franchise is tired. And I'm a Star Wars fan!,2.0,Last Jedi,0.7734676599502563,0.2458738386631012,0.1549522429704666,0.12134816497564316,0.10016971081495285,0.06355209648609161,0.026694683358073235,0.017860013991594315,0.013670072890818119
"Star Wars is often seen as the shinning jewel in the sci-fi film genre. Sure the saga has had some missteps with the first, two films in the prequel trilogy. The Last Jedi, is truly the pinnacle terrible script writing and directing. Rian Johnson, has killed this franchise. His directing and writing skills have destroyed this film. The film is eye candy for sure. But it boils down to nothing less than a movie you can turn you brain off to watch. This is a terrible Star Wars film, but a mediocre action film you can turn your brain off too. I hope Disney do the right thing and get this god awful director away from this dying franchise.",4.0,Last Jedi,0.563720703125,0.5000606775283813,0.3749365210533142,0.22875112295150757,0.19027014076709747,0.1854693740606308,0.0679352730512619,0.051110364496707916,0.0035078066866844893
