r_id,of_title,r_date,score,review,is_english,Ideological Bias,LGBTQ+ Criticism,Conspiracy Theory,Review Ecosystem Critique,Technical Criticism,Tactical Praise,Coordinated Hate,Studio Criticism,Frustration/Expectation
101536,Logan,2017-11-17,3,Alright. Worth a watch.  You could predict the plot toward the end which was ok but they could have cut about 20 minutes out of it. After a few i was like come on with it already.  Decent show.,True,0.5421605110168457,0.06915371119976044,0.9341141581535339,0.32361578941345215,0.09101704508066177,0.624728798866272,0.4061520993709564,0.9059327244758606,0.35859978199005127
101556,Logan,2017-03-14,5,"Although definitely too violent\, Logan is a very realistic\, moving and sometimes even genuinely tragic and heartbreaking movie. The character development is absolutely fantastic\, the performances from Patrick Stewart and Hugh Jackman are so good\, the humor is quite strong and the film's action is so well executed\, but also never overwhelming. It is such a well edited\, clever and emotional film with a couple of truly moving and beautiful sequences that are hard to forget leading to such a phenomenal\, genuinely different superhero outing that simultaneously works great as an X-Men and as a standalone movie.",True,0.14039966464042664,0.00687733618542552,0.004986260086297989,0.036818426102399826,0.03172078728675842,0.8714834451675415,0.023376766592264175,0.40502551198005676,0.0830424502491951
101564,Logan,2017-02-27,3,"Although I enjoy the X men series and have seen them all\, the violence in this movie is unnecessarily graphic and is not for kids.",True,0.9362901449203491,0.6078575849533081,0.008027496747672558,0.008653515949845314,0.40552574396133423,0.00495949387550354,0.35067218542099,0.9444977641105652,0.04550960287451744
101574,Logan,2017-03-03,5,"Although I'm going to hold out hope that Ryan Reynolds can convince Hugh Jackman to return for Deadpool 2\, this would be one hell of a way to go out. The R rating made me a bit skeptical as it seemed a bit reactionary to capitalize on the success of Deadpool\, but it is used as a great story telling element that helped set the tone of the movie. Logan delivers on a multitude of levels for extreme ass-kickery in an extraordinary blend of action sequences and emotional gut punches making it easily the best X-men related film to date. Director James Mangold unleashes Wolverine in an adventure that gives fans of the iconic comic book character a long overdue showcase of the animal within. But for those unfamiliar with the franchise\, there is still a heartfelt action-packed story will keep you thoroughly entertained for one wild ride. To no surprise\, Hugh Jackman and Patrick Stewart give us the best performances in their franchise long tenure. Stewart captures the frail humanity of Professor X as he battles an unknown neurological disease without any sacrifice to his wise and even-tempered demeanor. Both he and Jackman bring a very seasoned and damaged presence that is almost painful to watch for those who have long been fan's of the franchise. I'm a little mixed on Dafne Keen's performance as X-23/Laura\, though at no fault of her own. For the majority of the movie I actually found her character to be quite irritable. The creators definitely went for a rebellious feral child kind of personality to emphasize her similarities with Logan and her ability to bring forth mass carnage. Even though given the context of Laura's upbringing this makes sense\, she spends about two-thirds of the movie shrieking with no audible dialogue in a manner that I found overly petulant. Luckily\, the third act manages to salvage her character in a way that makes me excited to see more of her in the future. Wolverine spends so much of Logan getting beaten down and struggling to get up rather than maiming his enemies\, that it really paints him our beloved hero in a fashion that we're not accustomed to. Quite honestly\, it took some time to realize he's no longer the bruiting beast we're used to seeing\, especially with X-23 outdoing him in almost every action sequence. Although it was a bit tough to digest that a small child is causing more bloodshed than our Adamantium-covered brute\, she definitely proves her strength. No one will ever replace Wolverine\, but we're in great hands with X-23 as she maims\, shreds\, hacks\, stabs\, and gouges her way in a series of flips\, kicks\, punches\, and leaps like you could not imagine without seeing for yourself. I wasn't too big a fan of the route they chose to give Logan a formidable opponent\, but that aside\, this third act is one of most spectacular I've seen by a comic book movie - perhaps ever. Mangold ties up Logan's \""final\"" run in a beautiful amalgamation of tear jerking moments and some much needed violence. All questions that you may have during the movie are answered in a way that doesn't feel shoehorned in and gives us one \""last\"" glimpse of Wolverine's unrelenting spirit to stand up for what's right and his inability to shy away from a fight - no matter the odds or consequences.\n\nScore - 9.5/10\n\nP.S. - No end credit scene\, only pre-film scene. Mangold masterfully does this to keep the tone set by the ending of the film intact.",True,0.4931672215461731,0.015561088919639587,0.0064660850912332535,0.032278355211019516,0.07426677644252777,0.22907614707946777,0.11560943722724915,0.7870237827301025,0.7342215776443481
101575,Logan,2017-05-01,4,"Although Im not a marvel fanboy i just love it in a regular way\,its surprisingly a great one i feel that i wanna see it again if i kept on saying good things about it it wont end no one acted bad except the father of the girl\, he was just bad The girl was the best thing in the movie she was excellent in this movie im excpecting her to have a great  future and chances in Hollywood and hugh Jackman was good as usual as wolverine and the action sequence was beyond amazing and beyond Fantastic can't wait to see it again and to  buy it on bluray or DVD \nMy score: 9.5/10",True,0.6036245226860046,0.06261489540338516,0.04345051199197769,0.016634855419397354,0.027080997824668884,0.9643791317939758,0.10856576263904572,0.8395144939422607,0.06251028925180435
101581,Logan,2018-06-20,5,"Although it didn't keep me on the edge of my seat like most superhero movies\, it's better than The Dark Knight and that's saying something. Its earned it's 5 star rating.",True,0.5045262575149536,0.015621310099959373,0.5986081957817078,0.1465071588754654,0.06665179878473282,0.4614003598690033,0.01332488376647234,0.7720606327056885,0.19281622767448425
101636,Logan,2017-03-04,1,"Although the actors do their job well\, this is just a BRAINLESS SLASHER MOVIE.  A typical X-Men movie has a smart captivating plot\, complex characters including the villains\, spectacular visual effects\, and much more.  Here is the plot of this movie (without spoilers):  An army of muscle bound special force soldiers attack Wolverine and get slashed to pieces - claws through the head - with blood and body parts flying all over.  The good guys get away but get attacked again and the same thing happens.  They get away again\, and then - you guessed it - same thing happens.  By the last bloodbath I was falling asleep due to the sheer stupidity of it.  As you may have seen from the trailer\, a young girl takes part in all the fighting and is even more vicious than Wolverine.  Apparently it's ok for a pre-teen girl to slash people to pieces - because hey\, they are the bad guys\, they deserve it.  The movie also DOES NOT STAY TRUE TO THE XMEN BACKSTORY AND FREQUENTLY TURNS INTO NONSENSE.  For example\, in previous movies we are told that an adamantium bullet would not kill a being with an adamantium skull\, but would erase memories.  This movie thinks however that an adamantium bullet can blow off half of an adamantium skull.  There are other examples\, but I don't want to give away the plot.  Bottom Line:  I love the X-Men series and have seen every movie\, sometimes multiple times.  This one is not worth seeing in a theater (unless you are into Halloween Slasher movies\, because in that category it's top notch).",True,0.961523175239563,0.04815657064318657,0.04074646532535553,0.028250807896256447,0.07904510200023651,0.014802821911871433,0.9921947121620178,0.985949695110321,0.9875202775001526
101637,Logan,2017-03-07,4,"Although the atmosphere surrounding Logan brings to mind the depressing nature of Rocky Balboa\, the story\, like Rocky\, tugs at your heart strings nearly the entire time. If you're expecting another X-Men movie\, rent Apocalypse. Logan is not that. Instead\, Logan brings you the story of an old hero that has long lost the ability--and the will--to care about anyone\, especially himself. But we find that sometimes all one needs is the purpose to move forward. And that purpose can come in many shapes and sizes.",True,0.4190732538700104,0.007088157813996077,0.005533902440220118,0.021778929978609085,0.015024377964437008,0.07212826609611511,0.012058046646416187,0.5181360244750977,0.027461042627692223
101658,Logan,2017-04-01,3,"Although the performances from Hugh Jackman\, Patrick Stewart and Dafne Keen are all Oscar-worthy \, the film lacks the fun of previous X-Men movies and in some points of the story\, you'll find yourself being bored.  The movie takes advantage of its R-rating with some incredible\, bloody action sequences. It also gives us an important lesson on family\, saying that no matter what\, they are the most important people in the world.  It is certainly not the worst movie in the franchise but not the best either.",True,0.6017906069755554,0.32089778780937195,0.005476933903992176,0.0772143080830574,0.5073818564414978,0.502203106880188,0.15676815807819366,0.9767131209373474,0.9177292585372925
101659,Logan,2017-03-27,4,"Although the plot was quite predictable\, it was a decent ending as a closure for any film franchise. It is also recommendable to whom haven't watched any of the previous wolverine movies as I was enjoyable. Logan's desperate struggle scene was emotionally touching. I admired Stewart and Jackman's performance since they seemed really aged and vulnerable in movie. Pretty surprisingly\, I also got satisfied with watching an amazing debut of Dafne Keen.",True,0.30851444602012634,0.009136654436588287,0.01579352468252182,0.02109627239406109,0.014573327265679836,0.9797371625900269,0.015592705458402634,0.09917541593313217,0.02728397026658058
101664,Logan,2017-05-19,4,"Although there's an expectation for Logan to give a cold shoulder\, the film could have been elevated had emotion been seen earlier than later.",True,0.8595271706581116,0.03655271977186203,0.1159546971321106,0.016570279374718666,0.10827646404504776,0.02119891159236431,0.4157841205596924,0.8013854622840881,0.3998122811317444
101683,Logan,2017-03-04,3,"Although this movie strives to be an Unforgiven or True Grit with a comic book lead\, it just doesn't cut it -pun intended. Too many plot holes and inconsistent character motivations lead to a movie that has a few cool scenes but no coherence. Despite the poor script\, several of the performances are entertaining\, but not enough to make this movie feel like less of a 2 1/2 hour road trip to nowhere.",True,0.6318621039390564,0.07505606859922409,0.2082512378692627,0.19510316848754883,0.502113401889801,0.008252342231571674,0.4764242470264435,0.9680007100105286,0.7948280572891235
101740,Logan,2017-06-09,4,"A marvelous film\, pun intended. Never has there been such depths explored in a comic character\, and the heartbeats we feel throughout this film stick with us long after the experience. The team truly embraced the \""R\"" rating\, making this cinematic adventure all the more raw\, compelling\, and unique. For those of us who grew up with Hugh Jackman in the role of this iconic character\, the movie evokes a rich sentimentality. Despite the disillusioned\, drunk\, detached version of Logan we find here\, he is always our wild hero.",True,0.2781432271003723,0.009535889141261578,0.1009933277964592,0.0583917498588562,0.006401080638170242,0.9431189298629761,0.03640483692288399,0.22077544033527374,0.09199776500463486
101766,Logan,2017-03-04,5,"A masterpiece. Definitely in my top three. With Jackman saying this is his last time to play the Wolverine\, I can't imagine a better tribute/ending to a childhood favorite.",True,0.0786101371049881,0.004508327227085829,0.003124741604551673,0.017114276066422462,0.005340947303920984,0.9025183320045471,0.004210104700177908,0.008695101365447044,0.006962385959923267
101770,Logan,2017-08-02,5,A masterpiece in the comic book genre,True,0.07746318727731705,0.011474515311419964,0.638607919216156,0.010731813497841358,0.010002919472754002,0.2008918821811676,0.01639029197394848,0.0266206506639719,0.007441363297402859
101772,Logan,2016-11-10,5,"A Masterpiece! Logan is by far the best superhero movie ever made.You will leave the cinema speechless.The acting from Hugh Jackman is the best of his career. Amazing acting\, beautiful cinematography\, perfect directing this is a movie worth watching. The superhero movie we deserve. My Favorite Movie Of All Time !",True,0.25710561871528625,0.005802758503705263,0.007449697703123093,0.007340824697166681,0.04860905557870865,0.8890350461006165,0.005961599759757519,0.28043490648269653,0.008335757069289684
101774,Logan,2017-03-08,5,A masterpiece my favorite comic book movie.,True,0.004254392813891172,0.0037201708182692528,0.012931407429277897,0.0037557692267000675,0.006059758365154266,0.014064937829971313,0.004016759339720011,0.005242933984845877,0.0031438248697668314
101775,Logan,2017-06-07,5,A masterpiece of a film.,True,0.02554449439048767,0.0060438672080636024,0.2438555657863617,0.007832384668290615,0.022105712443590164,0.020722338929772377,0.007874807342886925,0.04018515720963478,0.004798275884240866
101776,Logan,2017-03-07,5,A masterpiece of a film with Hugh Jackman on the top of his performance as he again portrays Wolverine. His interaction with Dafne Keen as Laura Kinney/X-23 make this the best comic book adaptation so far.,True,0.1320534646511078,0.006222767289727926,0.0026433183811604977,0.006026993039995432,0.005441345740109682,0.6451811790466309,0.010131598450243473,0.009634626097977161,0.005674572195857763
101785,Logan,2017-03-08,5,a masterpiece that culminates the story of a great character.,True,0.0894128754734993,0.004363392014056444,0.044424861669540405,0.024999091401696205,0.007314177230000496,0.20951299369335175,0.0033564497716724873,0.0332108736038208,0.006439574062824249
101786,Logan,2017-12-16,5,A masterpiece that was everything I hoped it would be. Hugh Jackman gives an emotional and heavy performance that kept me gripped throughout the entire film. It brought tears to my eyes and I wouldn't change a thing.,True,0.11764947324991226,0.007470079232007265,0.004976746626198292,0.010468603111803532,0.004695411305874586,0.6063127517700195,0.0031794984824955463,0.024745706468820572,0.02679498866200447
101787,Logan,2017-03-03,5,A masterpiece. The ending that Hugh Jackman's Wolverine deserves. A fitting end to a legacy that lasted almost 2 decades.,True,0.3486071527004242,0.00447579100728035,0.00241416459903121,0.006047683302313089,0.0035230498760938644,0.578079879283905,0.00302769523113966,0.00799573864787817,0.007403024006634951
