85532,RE7B,2020-06-19,10,My favorite game from the Resident Evil series. It has an excellent story and managed to change the terror like no other game has done before. Capcom is to be congratulated. I hope you do more (in first person) ,true
85613,RE7B,2020-09-26,0,"Wonky controls\, enemies have 2 categories: unklillable or Marvel's Venom. Story is trash and enviroment is dull and gross\, just for the sake of it.",true
85700,RE7B,2020-11-19,9,=== [Gameplay] ===✔️Very good.=== [History] ===✔️Good.=== [Graphics] ===✔️Very good.=== [Soundtrack] ===✔️orgasm=== [Durability] ===✔️Short (,true
85715,RE7B,2020-09-26,7,This Resident evil game was decent. I hope Capcom goes back to third person perspective I hate first person games,true
85763,RE7B,2020-10-05,9,Gameplay 9/10Story 8/10Presentation 8/10Performance 8/10Music 8/10Characters 8/10Resident Evil is back,true
89006,RE7B,2020-11-15,9,"My first truly horror game and Resident Evil game. I played on a monitor\, and enjoyed it very much by the fear of death(when you are being chased and you can't look behind) and jump scares. Everything about the game comes together to give you a truly horror experience.",true
89038,RE7B,2020-10-14,1,Not a true Resident evil game. It Copied and pasted Outlast. Also the baker family the main antagonist is a Texas chainsaw rip-off.,true
89039,RE7B,2020-10-15,8,Its a really good Resident Evil game We all know that in the last re games are not horror games its more like action games but this game is so scary and the graphics look so good… Expand,true
89136,RE7B,2017-04-29,8,"It is a solid entry in the franchise even tho i was worried it was an FPS game\,the game could have been a 9 if the dlc was actually in the game because the story is like 8 to 10 hours long. Also i might want to experience it with the VR in the future for a better thrill experience.",true
89148,RE7B,2020-10-24,10,"Mein Lieblingsspiel. Hab es mittlerweile mehr als 10 mal durchgespielt. Es hat einfach alles\, was ein gutes Horrorspiel braucht. Traurige Story\, gruselige Atmosphäre und Jack Baker. Die einzigen Punkte\, die mich gestört haben waren das sich ziehende Ende und die Emotionslosigkeit von Ethan. Das mit dem Tanker konnte ich noch nachvollziehen\, aber die Mienen waren langweilig.… Expand",false
89189,RE7B,2020-11-07,10,This game was amazing! 2 hours in my leg had been cut off then reattached by a creepy southern dude possessed by black goop. Then I played this game and it was really fun.,true
89190,RE7B,2020-11-16,8,"Amazing horror experience\, with one of the best atmospheres for horror games. Good replay value and appropriate length. Interesting story and likable characters\, for sure a great introduction to Resident Evil.",true
89191,RE7B,2020-11-16,8,Greaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaasaaaaaaasst… Expand,false
89201,RE7B,2020-08-10,9,"O impressionante retorno de Resident Evil\, esse ''7'' é incrível e muito inovador\, daqui para frente a franquia será maravilhosa.",false
89202,RE7B,2020-08-10,9,"O impressionante retorno de Resident Evil\, esse ''7'' é incrível e muito inovador\, daqui para frente a franquia será maravilhosa.",false
89203,RE7B,2017-01-24,1,"Resident Evil 7 is boring game\, unfortunately. And I had super strong motion sick because of bad camera motion.VR helps this game as something \""new experience\"". But other VR games provide better experience.",true
89213,RE7B,2019-04-08,9,i played Resident Evil 7 Biohazard on ps4 it is a perfect horror game of 2017 i love it,true
